,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
2868,Madden NFL 25,Sports,E,XOne,EA Sports,EA Tiburon,7.1,,0.83,0.69,0.06,,0.09,2013,1,,7.1
2865,NCAA Football 12,Sports,E,PS3,EA Sports,EA Tiburon,7.7,,0.83,0.78,,,0.06,2011,1,,7.7
2877,Stranglehold,Shooter,M,X360,Midway Games,Midway Games,8.0,,0.83,0.41,0.33,0.01,0.09,2007,1,,8.0
2872,Time Crisis 4,Shooter,T,PS3,Namco Bandai,Bandai Namco Games,6.1,,0.83,0.32,0.32,0.05,0.14,2007,1,,6.1
2847,The Incredibles,Action,T,GC,THQ,Heavy Iron Studios,6.2,,0.84,0.65,0.17,,0.02,2004,1,,6.2
2862,Metroid: Zero Mission,Adventure,E,GBA,Nintendo,Nintendo R&D1,8.9,,0.84,0.6,0.22,,0.01,2004,1,,8.9
2861,Blazing Angels: Squadrons of WWII,Simulation,T,Wii,Ubisoft,Ubisoft Romania,4.7,,0.84,0.74,0.04,,0.06,2007,1,,4.7
2857,Rogue Galaxy,Role-Playing,T,PS2,Sony Computer Entertainment,Level 5,8.3,,0.84,0.24,0.16,0.39,0.05,2007,1,,8.3
2852,ZombiU,Action,M,WiiU,Ubisoft,Ubisoft Montpellier,6.9,,0.84,0.35,0.37,0.05,0.07,2012,1,,6.9
2859,MLB 13: The Show,Sports,E,PS3,Sony Computer Entertainment,SCE San Diego Studio,8.5,,0.84,0.68,,,0.16,2013,1,,8.5
2844,Xenoblade Chronicles X,Role-Playing,T,WiiU,Nintendo,Monolith Soft,8.1,,0.84,0.34,0.29,0.15,0.06,2015,1,,8.1
2848,Skate 2,Sports,T,PS3,Electronic Arts,EA Black Box,8.2,,0.84,0.46,0.25,0.01,0.12,2009,1,8.1,8.149999999999999
2842,Spider-Man 2,Action,T,GC,Activision,Treyarch,7.7,,0.84,0.65,0.17,,0.02,2004,1,,7.7
2841,Ghostbusters: The Video Game,Action,T,PS3,Atari,Terminal Reality,7.8,,0.84,0.34,0.36,,0.14,2009,1,8.3,8.05
2845,NBA 2K10,Sports,E,PS3,2K Sports,Visual Concepts,8.2,,0.84,0.75,0.01,0.01,0.07,2009,1,,8.2
2843,Sniper Elite V2,Shooter,M,X360,505 Games,Rebellion Developments,7.0,,0.84,0.46,0.28,0.02,0.08,2012,1,,7.0
2834,Ratatouille,Platform,E,PS2,THQ,Asobo Studio,6.0,,0.85,0.31,0.0,,0.53,2007,1,,6.0
2838,The House of the Dead: Overkill,Shooter,M,Wii,Sega,Headstrong Games,7.9,,0.85,0.44,0.3,0.02,0.09,2009,1,8.2,8.05
2832,NCAA Football 11,Sports,E,PS3,EA Sports,EA Tiburon,8.5,,0.85,0.79,,,0.06,2010,1,,8.5
2831,Burnout Legends,Racing,E10,PSP,Electronic Arts,Criterion Games,8.4,,0.85,0.7,0.06,,0.09,2005,1,,8.4
2840,Darksiders II,Action-Adventure,M,PS3,THQ,Vigil Games,8.3,,0.85,0.35,0.37,0.01,0.13,2012,1,,8.3
2828,The Legendary Starfy,Platform,E,DS,Nintendo,TOSE Software,7.1,,0.85,0.6,,0.2,0.05,2009,1,7.2,7.15
2826,Army of Two: The 40th Day,Shooter,M,PS3,Electronic Arts,EA Montreal,7.1,,0.85,0.44,0.27,0.01,0.13,2010,1,,7.1
2821,Street Fighter Alpha 2,Fighting,T,PS,Capcom,Capcom,8.2,,0.85,0.14,0.09,0.57,0.06,1996,1,,8.2
2817,2010 FIFA World Cup South Africa,Sports,E,X360,EA Sports,EA Canada,8.4,,0.85,0.32,0.42,0.02,0.09,2010,1,,8.4
2824,Dragon Ball Z: Burst Limit,Fighting,T,PS3,Atari,Dimps Corporation,7.3,,0.85,0.22,0.34,0.18,0.12,2008,1,,7.3
2812,Tomb Raider: Anniversary,Action,T,Wii,Eidos Interactive,Crystal Dynamics,6.8,,0.85,0.12,0.63,,0.11,2007,1,,6.8
2820,Ninja Gaiden Sigma 2,Action,M,PS3,Tecmo Koei,Team Ninja,8.5,,0.85,0.52,0.16,0.08,0.1,2009,1,8.8,8.65
2799,Rise of Nations,Strategy,T,PC,Microsoft Game Studios,Big Huge Games,8.8,,0.86,,,,,2003,1,,8.8
2811,Mafia III,Action-Adventure,M,PC,2K Games,Hangar 13,6.5,,0.86,,,,,2016,1,,6.5
2806,Bayonetta 2,Action,M,WiiU,Nintendo,PlatinumGames,9.3,,0.86,0.37,0.32,0.1,0.06,2014,1,,9.3
2805,Guitar Hero: Warriors of Rock,Misc,T,X360,Activision,Neversoft Entertainment,7.1,,0.86,0.47,0.31,,0.07,2010,1,,7.1
2788,Wii Fit U,Misc,E,WiiU,Nintendo,Nintendo,7.2,,0.86,0.35,0.24,0.21,0.06,2014,1,,7.2
2792,Lemmings,Puzzle,E,PSP,Sony Computer Entertainment,Team17 Software,7.3,,0.86,0.12,0.52,,0.23,2006,1,,7.3
2791,Tales of the Abyss,Role-Playing,T,3DS,Namco Bandai,Namco Tales Studio,7.3,,0.86,0.45,0.2,0.15,0.06,2012,1,,7.3
2794,Winning Eleven: Pro Evolution Soccer 2007,Sports,E,PSP,Konami,Konami Computer Entertainment Tokyo,8.2,,0.86,0.01,0.72,0.12,0.01,2007,1,,8.2
2772,Red Faction: Guerrilla,Shooter,M,X360,THQ,Volition Inc.,8.4,,0.87,0.48,0.29,0.01,0.09,2009,1,,8.4
2778,Vagrant Story,Role-Playing,T,PS,Square EA,SquareSoft,9.3,,0.87,0.3,0.2,0.3,0.06,2000,1,,9.3
2785,Endless Ocean: Blue World,Simulation,E10,Wii,Nintendo,Arika,7.6,,0.87,0.46,0.22,0.12,0.06,2010,1,,7.6
2767,Grand Theft Auto IV,Action,M,PC,Rockstar Games,Rockstar Toronto,9.2,,0.87,0.01,0.8,,0.06,2008,1,,9.2
2777,Brothers In Arms: Hell's Highway,Shooter,M,X360,Ubisoft,Gearbox Software,7.6,,0.87,0.47,0.3,0.0,0.09,2008,1,,7.6
2771,DiRT,Racing,E,X360,Codemasters,Codemasters,8.4,,0.87,0.38,0.4,,0.09,2007,1,8.0,8.2
2774,Mario Party: Star Rush,Party,E,3DS,Nintendo,"Nd Cube Co., Ltd.",6.2,,0.87,0.25,0.37,0.2,0.05,2016,1,,6.2
2770,GRID,Racing,E,X360,Codemasters,Codemasters,8.7,,0.87,0.33,0.44,0.01,0.09,2008,1,9.3,9.0
2756,Sleeping Dogs,Action-Adventure,M,X360,Square Enix,United Front Games,7.9,,0.87,0.38,0.4,0.01,0.08,2012,1,,7.9
2765,Paper Mario: Color Splash,Action-Adventure,E,WiiU,Nintendo,Intelligent Systems,7.4,6.4,0.87,0.35,0.37,0.08,0.06,2016,1,,6.9
2762,Super Bomberman R,Puzzle,E10,NS,Konami Digital Entertainment,HexaDrive,6.3,,0.87,0.31,0.32,0.19,0.06,2017,1,,6.3
2760,Kingdom Hearts Re: Chain of Memories,Role-Playing,E10,PS2,Square Enix,Jupiter Corporation,7.2,,0.87,0.73,0.03,,0.12,2008,1,,7.2
2746,Metal Gear Ac!d,Strategy,M,PSP,Konami,Konami,7.4,,0.87,0.32,0.26,0.12,0.17,2005,1,,7.4
2781,Ghostbusters: The Video Game,Action,E10,Wii,Atari,Red Fly Studio,7.6,,0.87,0.59,0.21,,0.07,2009,1,7.3,7.449999999999999
2753,Michael Jackson: The Experience,Misc,E10,X360,Ubisoft,Ubisoft Montreal,5.6,,0.87,0.62,0.18,0.0,0.07,2011,1,,5.6
2766,Tony Hawk's Project 8,Sports,T,PS2,Activision,Shaba Games,6.6,,0.87,0.72,0.03,,0.12,2006,1,,6.6
2780,Mercenaries 2: World in Flames,Shooter,T,PS3,Electronic Arts,Pandemic Studios,6.0,,0.87,0.29,0.4,0.02,0.16,2008,1,,6.0
2740,Rock Band 3,Misc,T,X360,MTV Games,Harmonix Music Systems,9.4,,0.88,0.73,0.09,,0.06,2010,1,,9.4
2733,Call of Duty: Modern Warfare 2,Shooter,M,PC,Activision,Infinity Ward,9.0,,0.88,0.01,0.79,,0.08,2009,1,,9.0
2743,WWE SmackDown vs. Raw 2011,Fighting,T,X360,THQ,JAKKS Pacific,7.1,,0.88,0.44,0.35,0.0,0.08,2010,1,,7.1
2737,Sonic Chronicles: The Dark Brotherhood,Role-Playing,E,DS,Sega,BioWare Corp.,7.3,,0.88,0.5,0.29,0.01,0.08,2008,1,,7.3
2729,F1 2010,Racing,E,X360,Codemasters,Codemasters Birmingham,8.4,,0.88,0.18,0.59,0.01,0.1,2010,1,8.2,8.3
2731,The Lord of the Rings: War in the North,Role-Playing,M,X360,Warner Bros. Interactive,Snowblind Studios,6.6,,0.88,0.55,0.24,0.0,0.08,2011,1,,6.6
2730,Call of Juarez: Bound in Blood,Shooter,M,PS3,Ubisoft,Techland,7.7,,0.88,0.35,0.38,0.01,0.15,2009,1,8.0,7.85
2728,Buzz! Quiz TV,Misc,T,PS3,Sony Computer Entertainment,Relentless Software,7.9,,0.88,0.28,0.47,,0.13,2008,1,8.7,8.3
2741,F1 2009,Racing,E,Wii,Codemasters,Sumo Digital,6.8,,0.88,0.15,0.62,,0.11,2009,1,,6.8
2714,Call of Duty: World at War,Shooter,T,DS,Activision,n-Space,7.4,,0.89,0.56,0.25,,0.08,2008,1,,7.4
2717,Assassin's Creed III,Action-Adventure,M,PC,Ubisoft,Ubisoft Montreal,8.6,,0.89,0.28,0.54,,0.07,2012,1,,8.6
2724,The Simpsons Game,Platform,T,PS3,Electronic Arts,EA Redwood Shores,7.5,,0.89,0.38,0.36,,0.14,2007,1,,7.5
2719,Fossil Fighters,Role-Playing,E,DS,Nintendo,RED Entertainment,6.9,,0.89,0.83,,,0.06,2009,1,,6.9
2723,Duke Nukem Forever,Shooter,M,PC,2K Games,Gearbox Software,4.6,,0.89,,,,,2011,1,,4.6
2721,Samba De Amigo,Misc,E,Wii,Sega,Gearbox Software,6.7,,0.89,0.41,0.37,0.01,0.09,2008,1,,6.7
2713,Resident Evil: Revelations,Action,M,3DS,Capcom,Capcom,7.8,,0.89,0.3,0.23,0.3,0.05,2012,1,,7.8
2716,The Tomb Raider Trilogy,Action,T,PS3,Square Enix,Crystal Dynamics,8.5,,0.89,0.27,0.48,,0.14,2011,1,,8.5
2710,Ace Combat 2,Simulation,T,PS,Namco,Namco,8.5,,0.89,0.16,0.11,0.56,0.06,1997,1,,8.5
2702,Fire Emblem: The Sacred Stones,Strategy,E,GBA,Nintendo,Intelligent Systems,8.4,,0.89,0.42,0.16,0.3,0.02,2005,1,,8.4
2697,Castlevania: Circle of the Moon,Platform,T,GBA,Konami,KCEK,8.9,,0.89,0.6,0.22,0.05,0.02,2001,1,,8.9
2694,Blitz: The League,Sports,M,PS2,Midway Games,Midway Games,7.8,,0.89,0.74,0.03,,0.12,2005,1,,7.8
2691,Madagascar,Platform,E,GBA,Activision,Vicarious Visions,5.5,,0.89,0.62,0.24,,0.03,2005,1,,5.5
2699,Ni no Kuni II: Revenant Kingdom,Role-Playing,T,PS4,Namco Bandai Games,Level 5,8.7,,0.89,0.33,0.31,0.12,0.13,2018,1,,8.7
2698,Pure,Racing,E,PS3,Disney Interactive Studios,Black Rock Studio,7.0,,0.89,0.42,0.33,0.0,0.14,2008,1,,7.0
2705,Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,PC,Konami Digital Entertainment,Kojima Productions,8.5,,0.89,,,,,2014,1,,8.5
2711,Dissidia 012: Duodecim Final Fantasy,Fighting,T,PSP,Square Enix,Square Enix,8.3,,0.89,0.21,0.13,0.46,0.09,2011,1,,8.3
2679,Resistance: Retribution,Shooter,M,PSP,Sony Computer Entertainment,SCEA Bend Studio,8.0,7.6,0.9,0.27,0.36,0.05,0.22,2009,1,,7.8
2683,Spider-Man 3,Platform,T,PS2,Activision,Vicarious Visions,4.4,,0.9,0.74,0.03,0.01,0.12,2007,1,,4.4
2667,Cars 2,Racing,E10,Wii,Disney Interactive Studios,Avalanche Software,8.0,,0.9,0.43,0.38,,0.1,2011,1,,8.0
2676,3Xtreme,Action,E,PS,989 Studios,Unknown,2.9,,0.9,0.5,0.34,,0.06,1999,1,,2.9
2690,Buzz! Master Quiz,Misc,E10,PSP,Sony Computer Entertainment,Relentless Software,7.0,,0.9,0.22,0.44,,0.24,2008,1,,7.0
2686,X-Men Legends,Role-Playing,T,XB,Activision,Raven Software,8.2,,0.9,0.62,0.24,,0.04,2004,1,,8.2
2675,The Biggest Loser: Ultimate Workout,Sports,E,X360,THQ,Blitz Games,8.0,,0.9,0.73,0.1,,0.07,2010,1,,8.0
2672,James Cameron's Avatar: The Game,Action,T,PS3,Ubisoft,Ubisoft Montreal,5.8,,0.9,0.32,0.43,,0.15,2009,1,,5.8
2671,SOCOM 4: U.S. Navy SEALs,Shooter,M,PS3,Sony Computer Entertainment,Zipper Interactive,7.0,,0.9,0.66,0.12,0.04,0.09,2011,1,,7.0
2664,Lost Odyssey,Role-Playing,T,X360,Microsoft Game Studios,Mistwalker Corporation / Feelplus Inc.,7.5,9.3,0.9,0.45,0.26,0.11,0.08,2008,1,,8.4
2674,Killzone: Liberation,Shooter,T,PSP,Sony Computer Entertainment,Guerrilla Games,7.8,,0.9,0.44,0.28,,0.19,2006,1,8.1,7.949999999999999
2663,Homefront,Shooter,M,PS3,THQ,Kaos Studios,6.6,,0.9,0.32,0.4,0.04,0.15,2011,1,,6.6
2670,Burnout Revenge,Racing,E10,PS2,Electronic Arts,Criterion Games,9.0,,0.9,0.75,0.03,,0.12,2005,1,,9.0
2666,Marvel: Ultimate Alliance 2,Role-Playing,T,X360,Activision,Vicarious Visions,7.4,,0.9,0.68,0.15,,0.08,2009,1,,7.4
2665,DJ Hero,Misc,T,PS3,Activision,FreeStyleGames,8.5,,0.9,0.42,0.34,,0.15,2009,1,8.0,8.25
2651,LEGO Pirates of the Caribbean: The Video Game,Action,E10,DS,Disney Interactive Studios,Traveller's Tales,6.8,,0.91,0.34,0.47,,0.1,2011,1,,6.8
2660,Assassin's Creed,Adventure,M,PC,Ubisoft,Ubisoft Montreal,7.6,,0.91,0.01,0.84,,0.06,2008,1,,7.6
2657,Operation Flashpoint: Dragon Rising,Shooter,M,PS3,Codemasters,Codemasters,7.3,,0.91,0.23,0.46,0.05,0.17,2009,1,,7.3
2648,Sonic Riders: Zero Gravity,Racing,E,Wii,Sega,Sonic Team,5.8,,0.91,0.48,0.32,0.02,0.09,2008,1,,5.8
