,Unnamed: 0,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
207,207,767,Sonic Adventure,Platform,E,DC,Sega,Sonic Team,8.9,,2.42,1.26,0.61,0.46,0.08,1999,1,,8.9
208,208,251,Tony Hawk's Pro Skater,Sports,T,PS,Activision,Neversoft Entertainment,9.6,,5.02,3.42,1.38,0.02,0.2,1999,1,,9.6
210,210,3632,Castlevania,Platform,T,N64,Konami,KCEK,7.6,,0.64,0.44,0.1,0.04,0.05,1999,1,,7.6
223,223,10584,Power Stone,Fighting,T,DC,Capcom,Capcom,8.6,,0.14,,,0.14,0.0,1999,1,,8.6
226,226,602,Syphon Filter,Shooter,T,PS,989 Studios,Eidetic,9.2,,2.88,2.03,0.72,0.02,0.11,1999,1,,9.2
233,233,7396,The House of the Dead 2,Shooter,M,DC,Sega,Wow Entertainment,7.5,,0.26,,,0.26,,1999,1,,7.5
242,242,3369,Chocobo's Dungeon 2,Role-Playing,E,PS,Square EA,SquareSoft,6.2,,0.7,0.04,0.03,0.58,0.05,1999,1,,6.2
244,244,7470,Bust A Groove 2,Misc,E,PS,Enix,Metro,7.0,,0.26,0.04,0.03,0.18,0.02,1999,1,,7.0
246,246,3452,Suikoden II,Role-Playing,T,PS,Konami,Konami,8.5,,0.68,0.15,0.1,0.38,0.04,1999,1,,8.5
248,248,6122,SoulCalibur,Fighting,T,DC,Namco,Namco,9.6,,0.34,,,0.34,0.0,1999,1,,9.6
252,252,5360,Sega Rally Championship 2,Racing,E,DC,Sega,Sega-AM3,8.5,,0.41,,,0.41,,1999,1,,8.5
254,254,1102,FIFA 2000,Sports,E,PS,EA Sports,EA Canada,8.8,,1.87,0.22,1.47,0.04,0.14,1999,1,,8.8
256,256,4168,Lunar: Silver Star Story Complete,Role-Playing,T,PS,Working Designs,Game Arts,7.6,10.0,0.55,0.27,0.18,0.06,0.04,1999,1,,8.8
257,257,1366,Silent Hill,Adventure,M,PS,Konami,KCET,8.9,,1.6,0.71,0.48,0.3,0.1,1999,1,,8.9
258,258,1328,Ape Escape,Platform,E,PS,Sony Computer Entertainment,SCE Japan Studio,9.3,,1.63,0.71,0.48,0.32,0.11,1999,1,,9.3
259,259,5081,Chocobo Racing,Racing,E,PS,Square EA,SquareSoft,5.4,,0.44,0.07,0.05,0.3,0.03,1999,1,,5.4
264,264,4729,Harvest Moon 64,Simulation,E,N64,Natsume,Toy Box Studios,7.8,,0.48,0.25,0.06,0.11,0.06,1999,1,,7.8
265,265,11318,Echo Night,Adventure,T,PS,Agetec,From Software,6.3,,0.12,0.03,0.02,0.07,0.01,1999,1,,6.3
266,266,12308,Blue Stinger,Adventure,M,DC,Activision,Climax Entertainment,6.7,,0.1,,,0.1,,1999,1,,6.7
268,268,12292,The King of Fighters: Dream Match 1999,Fighting,T,DC,SNK,SNK Corporation,7.2,,0.1,,,0.1,0.0,1999,1,,7.2
271,271,12458,Marvel vs. Capcom: Clash of Super Heroes,Fighting,T,DC,Capcom,Capcom,8.5,,0.1,,,0.1,,1999,1,,8.5
273,273,4135,Resident Evil 2,Action,M,N64,Capcom,Angel Studios,9.0,,0.56,0.39,0.09,0.07,0.01,1999,1,,9.0
274,274,971,R4: Ridge Racer Type 4,Racing,E,PS,Namco,Namco,9.1,,2.06,0.68,0.46,0.79,0.13,1999,1,,9.1
276,276,12571,Shadow Tower,Role-Playing,T,PS,Agetec,From Software,5.7,,0.1,0.01,0.01,0.07,0.01,1999,1,,5.7
280,280,5885,Virtua Fighter 3tb,Fighting,T,DC,Sega,Sega,8.1,,0.37,,,0.37,0.0,1999,1,,8.1
281,281,276,Crash Team Racing,Racing,E,PS,Sony Computer Entertainment,Naughty Dog,9.2,,4.79,2.57,1.57,0.44,0.21,1999,1,,9.2
289,289,448,Spyro 2: Ripto's Rage!,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,8.7,,3.52,2.14,1.21,0.01,0.17,1999,1,,8.7
291,291,9731,Clock Tower II: The Struggle Within,Adventure,M,PS,Agetec,Human Entertainment,4.4,,0.17,0.02,0.01,0.12,0.01,1999,1,,4.4
293,293,9037,Fire ProWrestling G,Fighting,,PS,Human Entertainment,S-Neo,8.0,,0.19,,,0.18,0.01,1999,1,,8.0
298,298,4763,Fantavision,Puzzle,E,PS2,Sony Computer Entertainment,SCEI,8.0,,0.47,0.14,0.11,0.19,0.04,2000,1,,8.0
299,299,514,WWF SmackDown! 2: Know Your Role,Fighting,T,PS,THQ,Yuke's,8.7,,3.2,1.76,1.21,0.07,0.16,2000,1,,8.7
301,301,367,Tekken Tag Tournament,Fighting,T,PS2,Namco,Namco,8.7,,4.05,1.68,1.51,0.51,0.35,2000,1,,8.7
303,303,6094,EverGrace,Role-Playing,T,PS2,Agetec,From Software,6.2,,0.35,0.1,0.08,0.15,0.03,2000,1,,6.2
306,306,10705,Dead or Alive 2,Fighting,T,DC,Tecmo,Team Ninja,9.0,,0.14,,,0.14,,2000,1,,9.0
307,307,6047,Persona 2: Eternal Punishment,Role-Playing,T,PS,Atlus,Atlus Co.,8.7,,0.35,0.03,0.02,0.28,0.02,2000,1,,8.7
310,310,3489,Wild ARMs 2,Role-Playing,E,PS,Sony Computer Entertainment,Media.Vision,6.5,,0.67,0.19,0.13,0.31,0.04,2000,1,,6.5
311,311,475,Crash Bash,Misc,E,PS,Sony Computer Entertainment,Eurocom Entertainment Software,6.8,,3.39,1.56,1.47,0.19,0.17,2000,1,,6.8
313,313,280,Driver 2,Action,T,PS,Atari,Reflections Interactive,7.0,,4.73,2.36,2.1,0.02,0.25,2000,1,,7.0
314,314,283,Tony Hawk's Pro Skater 2,Sports,T,PS,Activision,Neversoft Entertainment,9.3,,4.68,3.05,1.41,0.02,0.2,2000,1,,9.3
317,317,5399,Ogre Battle 64: Person of Lordly Caliber,Role-Playing,T,N64,Atlus,Quest Corporation,9.1,,0.41,0.1,0.02,0.25,0.04,2000,1,,9.1
318,318,4385,Seaman,Simulation,T,DC,Sega,VIVARIUM Inc.,8.1,,0.52,,,0.52,,2000,1,,8.1
324,324,4089,Breath of Fire IV,Role-Playing,T,PS,Capcom,Capcom,8.4,,0.56,0.11,0.08,0.34,0.04,2000,1,,8.4
325,325,2938,Valkyrie Profile,Role-Playing,T,PS,Enix,tri-Ace,8.1,,0.81,0.07,0.05,0.63,0.05,2000,1,,8.1
330,330,1726,Tony Hawk's Pro Skater,Sports,E,GB,Activision,Natsume,7.1,,1.33,0.9,0.38,0.01,0.05,2000,1,,7.1
331,331,10613,Marvel vs. Capcom 2,Fighting,T,DC,Capcom,Capcom,9.0,,0.14,,,0.14,,2000,1,,9.0
332,332,8361,Capcom vs. SNK,Fighting,T,DC,Capcom,Capcom,8.8,,0.22,,,0.22,,2000,1,,8.8
333,333,12101,Sakura Wars,Adventure,,DC,Sega,Overworks,7.6,,0.11,,,0.11,,2000,1,,7.6
340,340,11153,Sega GT,Racing,E,DC,Sega,TOSE Software,7.8,,0.13,,,0.13,0.0,2000,1,,7.8
342,342,1487,WWF No Mercy,Fighting,T,N64,THQ,Aki Corp.,9.1,,1.5,1.2,0.27,0.02,0.02,2000,1,,9.1
347,347,1110,The Legend of Dragoon,Role-Playing,T,PS,Sony Computer Entertainment,SCEI,7.8,6.5,1.86,0.94,0.44,0.39,0.1,2000,1,,7.15
348,348,1144,Crazy Taxi,Racing,T,DC,Sega,Hitmaker,9.3,,1.81,1.1,0.51,0.12,0.08,2000,1,,9.3
354,354,8843,Grandia II,Role-Playing,T,DC,Ubisoft,Game Arts,8.6,,0.2,,,0.2,0.0,2000,1,,8.6
356,356,1408,007: The World is Not Enough,Shooter,T,N64,Electronic Arts,Eurocom Entertainment Software,7.4,,1.55,1.13,0.38,0.02,0.03,2000,1,,7.4
365,365,2778,Vagrant Story,Role-Playing,T,PS,Square EA,SquareSoft,9.3,,0.87,0.3,0.2,0.3,0.06,2000,1,,9.3
366,366,2573,SaGa Frontier 2,Role-Playing,T,PS,Square EA,SquareSoft,7.4,,0.94,0.1,0.07,0.71,0.06,2000,1,,7.4
368,368,606,Colin McRae Rally,Racing,E,PS,Sony Computer Entertainment,Codemasters,7.9,,2.87,0.09,2.43,0.12,0.22,2000,1,,7.9
