,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
3593,181,Euro Truck Simulator 2,Simulation,,PC,SCS Software,SCS Software,8.5,,5.98,,,,,2013,1,,8.5
3594,7088,Need for Speed: Most Wanted (2012),Racing,E10,WiiU,Electronic Arts,Criterion Games,8.4,,0.28,0.13,0.13,,0.02,2013,1,,8.4
3595,697,Monster Hunter 3G,Role-Playing,T,3DS,Capcom,Capcom,7.6,,2.6,,,,,2013,1,,7.6
3596,186,Super Mario 3D World,Platform,E,WiiU,Nintendo,Nintendo EAD Tokyo,9.5,,5.8,,,,,2013,1,,9.5
3597,8471,TowerFall Ascension,Platform,E10,PC,Matt Makes Games Inc.,Matt Thorson,9.0,,0.21,,,,,2014,1,,9.0
3598,5120,2014 FIFA World Cup Brazil,Sports,E,X360,EA Sports,EA Canada,7.3,,0.44,0.15,0.25,0.0,0.03,2014,1,,7.3
3599,4631,Mario Golf: World Tour,Sports,E,3DS,Nintendo,Camelot Software Planning,8.1,,0.49,0.14,0.15,0.18,0.03,2014,1,,8.1
3600,5711,Phoenix Wright: Ace Attorney - Dual Destinies,Misc,M,3DS,Unknown,Capcom,8.1,,0.38,,,0.38,,2014,1,,8.1
3601,7195,Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,XOne,Konami Digital Entertainment,Kojima Productions,7.7,,0.27,0.13,0.13,,0.02,2014,1,,7.7
3602,322,Call of Duty: Advanced Warfare,Shooter,M,X360,Activision,High Moon Studios,9.1,,4.34,2.81,1.13,0.0,0.41,2014,1,,9.1
3603,3896,Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,PS3,Konami Digital Entertainment,Kojima Productions,8.5,,0.59,0.13,0.13,0.28,0.05,2014,1,,8.5
3604,2423,The Last of Us Remastered,Action-Adventure,M,PS4,Sony Computer Entertainment,Naughty Dog,9.5,,1.0,,,,,2014,1,,9.5
3605,3404,The Evil Within,Misc,M,XOne,Bethesda Softworks,Tango Gameworks,7.9,,0.69,0.36,0.27,0.0,0.06,2014,1,,7.9
3606,93,Super Smash Bros. for 3DS,Fighting,E10,3DS,Nintendo,Bandai Namco Games,8.4,,9.45,,,,,2014,1,,8.4
3607,4976,Lego Batman 3: Beyond Gotham,Action,E10,WiiU,Warner Bros. Interactive Entertainment,Traveller's Tales,7.4,,0.45,0.21,0.21,,0.04,2014,1,,7.4
3608,1618,Bravely Default: Flying Fairy,Role-Playing,T,3DS,Nintendo,Square Enix,8.2,,1.4,,,,,2014,1,,8.2
3609,6730,Shovel Knight,Platform,E,WiiU,Yacht Club Games,Yacht Club Games,9.0,,0.3,,,,,2014,1,,9.0
3610,6906,Sonic Boom: Shattered Crystal,Platform,E,3DS,Sega,Sanzaru Games,3.8,,0.29,0.17,0.09,,0.03,2014,1,,3.8
3611,330,Call of Duty: Advanced Warfare,Shooter,M,PS3,Activision,High Moon Studios,9.1,,4.27,1.59,1.81,0.2,0.67,2014,1,,9.1
3612,2128,Fantasy Life,Role-Playing,E10,3DS,Nintendo,Level 5/Brownie Brown,6.9,,1.11,,,,,2014,1,,6.9
3613,1026,Donkey Kong Country: Tropical Freeze,Platform,E,WiiU,Nintendo,Retro Studios,8.8,9.1,1.98,,,,,2014,1,,8.95
3614,5736,The Vanishing of Ethan Carter,Adventure,,PC,The Astronauts,The Astronauts,8.7,,0.38,,,,,2014,1,,8.7
3615,5830,Never Alone,Misc,,PC,E-Line Media,Unknown,,,0.37,,,,,2014,1,8.6,8.6
3616,5320,Call of Duty: Advanced Warfare,Shooter,M,PC,Activision,Sledgehammer Games,8.6,,0.42,0.17,0.22,,0.03,2014,1,,8.6
3617,3241,MLB 14 The Show,Sports,E,PS4,Sony Computer Entertainment,SCE San Diego Studio,8.3,,0.73,0.59,,,0.14,2014,1,,8.3
3618,3202,The Evil Within,Misc,M,PC,Bethesda Softworks,Tango Gameworks,5.5,,0.74,,,,,2014,1,,5.5
3619,20,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,19.39,6.06,9.71,0.6,3.02,2014,1,,9.7
3620,5180,MLB 14 The Show,Sports,E,PS3,Sony Computer Entertainment America,SCE San Diego Studio,8.2,,0.43,0.35,,,0.08,2014,1,,8.2
3621,3162,Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,E10,PS4,Disney Interactive Studios,Avalanche Software,8.0,,0.75,0.37,0.25,,0.13,2014,1,,8.0
3622,6551,Sonic Boom: Rise of Lyric,Action-Adventure,E10,WiiU,Sega,Big Red Button,3.7,,0.31,0.19,0.09,,0.03,2014,1,,3.7
3623,362,Far Cry 4,Shooter,M,PS4,Ubisoft,Ubisoft Montreal,8.4,,4.06,1.18,2.14,0.11,0.63,2014,1,,8.4
3624,3339,Plants vs Zombies: Garden Warfare,Shooter,E10,XOne,Electronic Arts,PopCap Games,7.6,,0.71,0.39,0.25,0.0,0.06,2014,1,,7.6
3625,8951,Among The Sleep,Adventure,,PC,Krillbite Studio,Krillbite Studio,,,0.19,,,,,2014,1,7.2,7.2
3626,3316,The LEGO Movie Videogame,Action-Adventure,E10,PS4,Warner Bros. Interactive Entertainment,TT Fusion,6.0,,0.71,0.26,0.32,0.01,0.11,2014,1,,6.0
3627,11613,MLB 14 The Show,Sports,E,PSV,Sony Computer Entertainment America,SCE San Diego Studio,7.1,,0.12,0.09,,,0.03,2014,1,,7.1
3628,218,Super Smash Bros. for Wii U,Fighting,E10,WiiU,Nintendo,Bandai Namco Games,9.2,,5.35,,,,,2014,1,,9.2
3629,1834,Hyrule Warriors,Misc,T,WiiU,Nintendo,Omega Force,7.4,,1.26,0.59,0.44,0.13,0.1,2014,1,,7.4
3630,357,The Sims 4,Simulation,T,PC,Electronic Arts,Maxis,7.0,,4.1,1.2,2.6,,0.3,2014,1,5.8,6.4
3631,889,FIFA 15,Sports,E,XOne,EA Sports,EA Canada,7.9,,2.19,0.64,1.39,,0.16,2014,1,,7.9
3632,6774,FIFA 15,Sports,E,PC,EA Sports,EA Canada,7.0,,0.3,,0.28,,0.02,2014,1,,7.0
3633,2806,Bayonetta 2,Action,M,WiiU,Nintendo,PlatinumGames,9.3,,0.86,0.37,0.32,0.1,0.06,2014,1,,9.3
3634,2556,Disney Magic Castle: My Happy Life,Simulation,E,3DS,Nintendo,High Horse Entertainment,7.9,,0.94,0.17,0.2,0.53,0.03,2014,1,,7.9
3635,7623,LEGO The Hobbit,Action-Adventure,E10,3DS,Warner Bros. Interactive Entertainment,TT Fusion,7.0,,0.25,0.1,0.13,,0.02,2014,1,,7.0
3636,6140,Risen 3: Titan Lords Enhanced Edition,Role-Playing,M,PC,Deep Silver,Piranha Bytes,6.3,,0.34,,,,,2014,1,,6.3
3637,4268,Just Dance 2015,Music,E10,XOne,Ubisoft,Ubisoft Paris,8.1,,0.54,0.36,0.13,,0.05,2014,1,,8.1
3638,7691,Persona Q: Shadow of the Labyrinth,Role-Playing,M,3DS,Atlus,Atlus,8.3,,0.25,,,,,2014,1,,8.3
3639,129,Call of Duty: Advanced Warfare,Shooter,M,PS4,Activision,Sledgehammer Games,8.5,,7.53,2.84,3.34,0.14,1.22,2014,1,,8.5
3640,6302,Ultimate NES Remix,Action,E,3DS,Nintendo,Nintendo,7.0,,0.33,0.19,0.11,,0.03,2014,1,7.0,7.0
3641,4584,Pokemon Art Academy,Misc,E,3DS,Nintendo,Headstrong Games,7.8,,0.5,0.18,0.12,0.17,0.03,2014,1,,7.8
3642,2083,Plants vs Zombies: Garden Warfare,Shooter,E10,X360,Electronic Arts,PopCap Games,8.0,,1.13,0.54,0.5,0.0,0.09,2014,1,,8.0
3643,3520,2014 FIFA World Cup Brazil,Sports,E,PS3,EA Sports,EA Canada,7.9,,0.66,0.15,0.4,0.01,0.1,2014,1,,7.9
3644,3608,Far Cry 4,Shooter,M,PC,Ubisoft,Ubisoft Montreal,8.5,,0.65,0.19,0.41,,0.05,2014,1,,8.5
3645,2005,Sunset Overdrive,Action,M,XOne,Microsoft Studios,Insomniac Games,8.0,,1.16,0.64,0.42,0.0,0.1,2014,1,,8.0
3646,1014,Driveclub,Racing,E,PS4,Sony Computer Entertainment,Evolution Studios,7.2,,2.0,,,,,2014,1,5.8,6.5
3647,8827,Sleeping Dogs: Definitive Edition,Action-Adventure,M,XOne,Square Enix,United Front Games,7.5,,0.2,0.1,0.09,,0.02,2014,1,,7.5
3648,2955,Professor Layton and the Azran Legacy,Puzzle,E10,3DS,Nintendo,Level 5,8.0,,0.81,,0.53,0.25,0.03,2014,1,,8.0
3649,2705,Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,PC,Konami Digital Entertainment,Kojima Productions,8.5,,0.89,,,,,2014,1,,8.5
3650,163,Tomodachi Life,Simulation,E,3DS,Nintendo,Nintendo,7.8,,6.4,,,,,2014,1,,7.8
3651,2788,Wii Fit U,Misc,E,WiiU,Nintendo,Nintendo,7.2,,0.86,0.35,0.24,0.21,0.06,2014,1,,7.2
3652,166,Minecraft,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,,6.33,1.89,3.13,0.35,0.96,2014,1,,9.4
3653,167,FIFA 15,Sports,E,PS4,EA Sports,EA Canada,8.1,,6.32,0.83,4.49,0.05,0.94,2014,1,,8.1
3654,2925,Professor Layton vs Ace Attorney,Adventure,T,3DS,Nintendo,Level 5,8.1,,0.82,0.2,0.27,0.3,0.04,2014,1,,8.1
3655,4701,Atelier Rorona: Alchemist of Arland,Role-Playing,T,PS3,NIS America,Gust,6.4,,0.48,0.22,0.1,0.11,0.05,2014,1,,6.4
3656,1112,The Evil Within,Action,M,PS4,Bethesda Softworks,Tango Gameworks,7.7,,1.86,0.56,0.9,0.11,0.28,2014,1,,7.7
3657,10842,Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,X360,Konami Digital Entertainment,Kojima Productions,8.3,,0.14,0.06,0.05,0.01,0.01,2014,1,,8.3
3658,295,FIFA 15,Sports,E,PS3,EA Sports,EA Canada,6.9,,4.56,0.59,3.25,0.04,0.68,2014,1,,6.9
3659,8863,Arcana Heart 3,Fighting,,PS3,Aksys Games,Examu Inc.,7.0,,0.2,0.04,0.05,0.1,0.02,2014,1,,7.0
3660,107,Grand Theft Auto V,Action,M,XOne,Rockstar Games,Rockstar North,9.0,9.0,8.72,4.7,3.25,0.01,0.76,2014,1,,9.0
3661,470,Destiny,Shooter,T,XOne,Activision,Bungie,8.3,,3.41,2.17,0.92,,0.32,2014,1,,8.3
3662,1692,Captain Toad: Treasure Tracker,Puzzle,E,WiiU,Nintendo,Nintendo EAD Tokyo,7.7,,1.35,,,,,2014,1,,7.7
3663,1933,Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,PS4,Konami Digital Entertainment,Kojima Productions,7.6,,1.2,0.36,0.5,0.17,0.17,2014,1,,7.6
3664,801,Kirby: Triple Deluxe,Platform,E,3DS,Nintendo,HAL Laboratory,7.8,,2.37,,,,,2014,1,,7.8
3665,5680,Wii Sports Club,Sports,E,WiiU,Nintendo,Nintendo,6.7,,0.38,0.17,0.14,0.04,0.03,2014,1,,6.7
3666,229,Call of Duty: Advanced Warfare,Shooter,M,XOne,Activision,Sledgehammer Games,8.3,,5.22,3.25,1.49,0.01,0.48,2014,1,,8.3
3667,593,FIFA 15,Sports,E,X360,EA Sports,EA Canada,6.9,,2.91,0.8,1.9,,0.21,2014,1,,6.9
3668,11390,Football Manager Classic 2014,Sports,,PSV,Sega,Sports Interactive,5.8,,0.12,,0.1,,0.03,2014,1,,5.8
3669,114,Mario Kart 8,Racing,E,WiiU,Nintendo,Nintendo,8.8,,8.42,,,,,2014,1,,8.8
3670,1270,Far Cry 4,Shooter,M,XOne,Ubisoft,Ubisoft Montreal,8.5,,1.68,0.85,0.68,0.02,0.14,2014,1,,8.5
3671,3567,Dead or Alive 5,Fighting,M,PS3,Tecmo Koei,Team Ninja,7.6,,0.65,0.23,0.15,0.21,0.07,2015,1,,7.6
3672,374,Super Mario Maker,Platform,E,WiiU,Nintendo,Nintendo EAD,8.8,,4.0,,,,,2015,1,,8.8
